Sample	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	Other
ERR2208907	0.032637199443936	0.0155566575074115	0.0210207819283748	0	0.0218534689451788	0.0166111263061596	0	0.0349045956166615	0.0280929732886264	0.0240564104222034	0.805266786541448
ERR2208909	0.00465540674253056	0.00235886584320376	0.0085191048260173	0	0.14656147174008	0.0016821251204149	0	0.00193407364069379	0.00689263082365493	0	0.827396321263405
ERR2208910	0.0113829630551776	0.0166702836676478	0.0260130536414055	0.0249915549374376	0.0221135282772175	0.00545916034338764	0	0.0157598121368907	0.0159940126157068	0	0.861615631325129
ERR2208912	0.0179312253356597	0.000885529955837861	0.0119812120298168	0	0.0644083923888056	0.00722482413740311	0	0.0092885095065409	0.0274993416194713	0.0117438959832353	0.849037069043229
ERR2208914	0.0296831351262789	0.0187970266346951	0.0171094005519787	0.0151035761304515	0.0302877497508532	0.0026369209049283	0.0269642848101269	0.0534649136559831	0.0428027231511684	0.00277130885553946	0.760378960427996
ERR2208915	0.0336464014457336	0.0723616006717401	0.013499603753266	0	0.046398213875727	0	0	0.0874449190819399	0.0437730717915963	0.0144130440482738	0.688463145331723
ERR2208916	0.0173321120986898	0.00344600496610927	0.030516440547809	0	0.0571185083673123	0.00770111885507774	0	0.000244520910929612	0.00980066466372039	0.00779958106632958	0.866041048524022
ERR2208918	0.0319153046503611	0.0205574821100722	0.0235899761843037	0.0059252378499905	0.02960262275648	0	0	0.124645681996635	0.00776247756275237	0.00848872297222264	0.747512493917183
ERR2208919	0.0154774288599855	0.00553360008860782	0.0310782760421223	0	0.029102480756923	0.00689123357050169	0	0.00215254667981518	0.00787925411010466	0.0148451050405348	0.887040074851405
ERR2208920	0.0506346808103835	0.0156582636200967	0.0355621920964811	0	0.0391819569195718	0.0100400160491205	0	0.0435001819811779	0.0244488703190124	0.00835166222821208	0.772622175975944
ERR2208921	0.0205023039831994	0.0181832299121122	0.0201323427873102	0.0169771508988254	0.0129189901588359	0.00827190040318378	0	0.0862617879175789	0.0278482752221147	0.00867992060978679	0.780224098107053
ERR2208922	0.0191298148896236	0.00331159777002602	0.0137325976804584	0	0.058198219359694	0.00524603970722863	0.00101235194372753	0.00841840092030205	0.0125667196698205	0.0225568989867808	0.855827359072338
ERR2208923	0.0304633675255939	0.0303971364426074	0.0167531165000437	0.027355951512653	0.00613699038780779	0.00912512409244325	0	0.0278339917456383	0.0273351224710958	0.00909247735713831	0.815506721964979
ERR2208924	0.0279978238061464	0.0146855452590518	0.0106052939533626	0.0142349617659209	0.0171784266281554	0.00712862397313231	0	0.0109557411351159	0.0119946893892397	0.0169319120284654	0.86828698206141
ERR2208926	0.0153509159541333	0.000561184879315206	0.00726769152160166	0	0.0897846504859313	0.00468176250190882	0	0.00299198143379042	0.0128222226262385	0.00416731013576563	0.862372280461315
ERR3262565	0.0198018530210223	0	0.0117645688912584	0.0260407845993871	0	0.0113907709818145	0	0.000458732086648815	0.0125871330837858	0.0253376002307271	0.892618557105356
ERR2208929	0.0120775458059446	0.00574103384678004	0.0198147637951486	0	0.0238431292118642	0.00476087040714837	0	0.00217545704331297	0.0179882246436209	0.0142949580463997	0.89930401719978
ERR2208930	0.0145204811926111	0.00291298108378081	0.0185741087277905	0	0.101449931566519	0.00609016621759482	0	0.00205636886499372	0.00863410223173262	0	0.845761860114977
ERR2208931	0.0133564850955914	0.00113843054905631	0.0136104874189019	0.0684221607820159	0.000147325721600021	0.0110126138337363	0	0.0032500606821164	0.00832858754983975	0	0.880733848367142
ERR2208933	0.0187586862454934	0.00491470479000622	0.00835013789699999	0.0232883050292814	0.00153941299701722	0.00686458188878894	0	0.00350862072710402	0.0165172634654187	0.0116390339858133	0.904619252974077
ERR2208934	0.0157562684447061	0.0115082754949587	0.0598098820212649	0.0328812955587602	0.020580111798317	0.00680429293353092	0	0	0.0122794334302642	0	0.840380440318198
ERR2208935	0.0259981153943266	0.000309306027548485	0.0170611662958807	0.0443638468807673	0.00335990056530947	0.0109410347728168	0	0.0062157648613301	0.00839117213930873	0.0110566490381573	0.872303044024554
ERR2208936	0.0208805794983914	0.0107987871229687	0.0177583347747983	0.0231125508828982	0.0193792644789623	0.00782149179263167	0	0	0.0129718748669367	0	0.887277116582413
ERR2208938	0.0141963844719165	0.0204700381293354	0.0268896855360458	0.0176271915662196	0.0637082850731041	0.00572165722881529	0	0.0120013941539746	0.0135538346133057	0	0.825831529227283
ERR2208898	0.027492510684646	0.0145921373525601	0.0103896397926369	0.0579736853257829	0	0.0115307539925727	0	0.000933651187806692	0.00719114322327901	0	0.869896478440716
ERR2208899	0.137280141792359	0.0054747090877532	0.0271334801930279	0.0047889975602352	0	0.0364681684898881	0.243416098837653	0.0227354622708462	0.0454488168272317	0.00824085481615882	0.469013270124847
