"","logFC","logCPM","F","PValue","FDR"
"PRB1",-3.8482289897378,6.12439698100722,26.5541056372422,3.92691905280469e-06,0.038142164759892
"CD274",1.88132769262261,3.12315176630205,22.5862374336192,1.5962099892678e-05,0.0775199381287907
"PRB2",-3.08736411462663,5.43871899935731,20.4886799232639,3.46506090422817e-05,0.0910177839034973
"CXCL10",2.38986266119005,5.22828983883295,19.3103667817191,5.41575803295735e-05,0.0910177839034973
"CCL5",1.82093122031867,4.24905354301462,19.290978781978,5.45608238787075e-05,0.0910177839034973
"PRH1",-2.42433090603207,5.6118000081422,19.2125463329131,5.62243079811576e-05,0.0910177839034973
"TAP1",1.27083180361155,8.22500353528603,18.4711862652714,7.48222565311943e-05,0.0913664382824928
"LAP3",0.884531875843772,6.89321928094456,18.2646554486325,8.05402548223159e-05,0.0913664382824928
"SLAMF7",1.83691778428227,4.71602730572862,18.1534876405448,8.46595227573804e-05,0.0913664382824928
"IRF1",1.39726988300612,5.53880397243564,17.3231778209764,0.000117278771099659,0.10244835550604
"STAT1",1.07470221779642,10.2528439758549,17.3084462745305,0.000117466214979589,0.10244835550604
"HGF",-1.89858864354215,5.17878323925668,17.1305895380599,0.000126570602910788,0.10244835550604
"PRF1",1.6977582596546,3.628257136647,16.7379034796969,0.000147974834026843,0.103116504826319
"ZNF717",-0.641915129933611,5.91566754870327,16.7125061862601,0.000148628751937452,0.103116504826319
"DYNC2H1",-1.01593528855088,7.96090981636979,16.3657978880228,0.000171677952543253,0.103633844600381
"CCL4L2",1.3844004979157,4.11132702295751,16.1792307639292,0.000185147573217381,0.103633844600381
"RNF157",-1.32582283836485,4.81128563856141,16.1117947087513,0.000190252573340627,0.103633844600381
"SEMA3A",-2.01176059266897,6.06277913849699,16.0884629103781,0.000192052836693797,0.103633844600381
"CCL4",1.63760408272448,4.82003048877172,15.8931254069495,0.000207840492164632,0.105027603157942
"ABCA8",-2.21873809759535,7.24686273436972,15.7951678334299,0.000216261923520936,0.105027603157942
"CEP290",-0.562486227942275,6.13164101879179,15.3573811201062,0.000257194093278539,0.118958391810212
"CASP1",1.48623321424656,6.43472121687391,15.0999247047154,0.000287261020061822,0.126825740357294
"ZNFX1",0.512026503040143,6.69927320109473,14.4380097953546,0.000375955104952114,0.13546230826296
"TAP2",0.821661184604872,6.82742302407693,14.3948353398136,0.00038302622508483,0.13546230826296
"BRD9",-0.948068094940942,6.16920957893564,14.3300490820381,0.00039488690981036,0.13546230826296
"PARP14",1.0932336066365,8.99707335706071,14.3148059273614,0.000397548753321792,0.13546230826296
"HBA2",2.34442368906154,7.67542945738301,14.2965308056433,0.00040058939019436,0.13546230826296
"CXCL9",2.12827558863653,5.31730439595903,14.2489523648999,0.000408620050092683,0.13546230826296
"PRB3",-1.97765931565605,4.36402673837141,14.1982547103228,0.000417362525982143,0.13546230826296
"HBA1",2.28160656810464,6.88193442232577,14.1923415744093,0.00041839485719024,0.13546230826296
"DTX3L",0.738622167395335,6.24058719697015,13.8604971175138,0.0004787806895639,0.150012801217231
"ANKH",-1.44343175985942,7.41430182393041,13.7413505145583,0.000505552817131394,0.152690112371067
"SGK1",0.953460044261455,7.67207252768545,13.6287021753231,0.000530088345988272,0.152690112371067
"ABCA6",-1.81632139388796,7.03889721569475,13.6094388725788,0.000534486134110603,0.152690112371067
"GCH1",1.11553329929568,3.71611447612903,13.5331386279253,0.000552006981344133,0.153189823137016
"ISG20",1.30209889226543,3.5237274581965,13.165692444478,0.000645198321749034,0.17407809164301
"GLDC",1.86169470023001,5.11450196314961,13.0951484812852,0.000664898166888425,0.174544753918575
"PPP4R2",-0.418106411591224,6.10510691621127,12.9908820511907,0.00069250906286484,0.177008961252795
"WARS",1.22721650925319,8.37760475923278,12.9004009008062,0.000722616836713394,0.179968649615313
"ZNF208",-1.66342071356577,6.27091663987062,12.8319066038179,0.000744142687589197,0.180696448113847
"PPIL3",-0.507746746199867,4.23754228762263,12.6927591886737,0.000787045604706822,0.186453023378472
"UBD",2.20849432140286,4.56915321131736,12.5392846278254,0.000843944298384454,0.195172165957338
"APOL6",1.08365721929477,5.76148889323325,12.4801921844613,0.000865745140049444,0.195557733611634
"APOL1",1.17060693947736,4.05702507639693,12.3450710006582,0.00091783895441646,0.19964265515855
